trial,val_mean,test_mean,duration_sec,log_dir,gamma,lr,smax
0,0.20494047552347183,nan,322.1789119243622,logs/tuning/hat/2025-10-08_16-11-20-7033/runs/hat/ucl_basic_test_tune_000_gamma-1em01_lr-1em03_smax-25-2025-10-08_16-11-20-7033-trial000/0,0.1,0.001,25
1,0.22428571432828903,nan,440.4706914424896,logs/tuning/hat/2025-10-08_16-11-20-7033/runs/hat/ucl_basic_test_tune_001_gamma-1em01_lr-1em03_smax-100-2025-10-08_16-11-20-7033-trial001/1,0.1,0.001,100
2,0.24089285731315613,nan,368.2184045314789,logs/tuning/hat/2025-10-08_16-11-20-7033/runs/hat/ucl_basic_test_tune_002_gamma-1em01_lr-1em03_smax-400-2025-10-08_16-11-20-7033-trial002/2,0.1,0.001,400
3,0.233154758810997,nan,255.80338621139526,logs/tuning/hat/2025-10-08_16-11-20-7033/runs/hat/ucl_basic_test_tune_003_gamma-1em01_lr-1em03_smax-800-2025-10-08_16-11-20-7033-trial003/3,0.1,0.001,800
4,0.22428571432828903,nan,265.99138379096985,logs/tuning/hat/2025-10-08_16-11-20-7033/runs/hat/ucl_basic_test_tune_004_gamma-1em01_lr-3em03_smax-25-2025-10-08_16-11-20-7033-trial004/4,0.1,0.003,25
5,0.2105357125401497,nan,242.06057119369507,logs/tuning/hat/2025-10-08_16-11-20-7033/runs/hat/ucl_basic_test_tune_005_gamma-1em01_lr-3em03_smax-100-2025-10-08_16-11-20-7033-trial005/5,0.1,0.003,100
6,0.21988095343112946,nan,242.0030870437622,logs/tuning/hat/2025-10-08_16-11-20-7033/runs/hat/ucl_basic_test_tune_006_gamma-1em01_lr-3em03_smax-400-2025-10-08_16-11-20-7033-trial006/6,0.1,0.003,400
7,0.21535714715719223,nan,265.80492639541626,logs/tuning/hat/2025-10-08_16-11-20-7033/runs/hat/ucl_basic_test_tune_007_gamma-1em01_lr-3em03_smax-800-2025-10-08_16-11-20-7033-trial007/7,0.1,0.003,800
8,0.2298809513449669,nan,323.9538609981537,logs/tuning/hat/2025-10-08_16-11-20-7033/runs/hat/ucl_basic_test_tune_008_gamma-1em01_lr-1em02_smax-25-2025-10-08_16-11-20-7033-trial008/8,0.1,0.01,25
9,0.23279761523008347,nan,364.10406041145325,logs/tuning/hat/2025-10-08_16-11-20-7033/runs/hat/ucl_basic_test_tune_009_gamma-1em01_lr-1em02_smax-100-2025-10-08_16-11-20-7033-trial009/9,0.1,0.01,100
