trial,stage,score,val_mean,val_det_mean,val_pfa_mean,test_mean,test_det_mean,test_pfa_mean,duration_sec,log_dir,beta,lr,memory_strength
0,lr,0.10056176549272987,0.20249481995900473,0.5,1.0,nan,nan,nan,153.72169828414917,logs/tuning/dual/2026-04-02_11-51-11-4573/runs/bcl_dual/tuning_sweep_CIL_tune_000_lr-3em02-2026-04-02_11-51-11-4573-trial000/0,,0.03,
1,lr,0.21494465801888848,0.35330674052238464,0.5,1.0,nan,nan,nan,152.526029586792,logs/tuning/dual/2026-04-02_11-51-11-4573/runs/bcl_dual/tuning_sweep_CIL_tune_001_lr-1em02-2026-04-02_11-51-11-4573-trial001/0,,0.01,
2,lr,0.1747492969282569,0.30130185683568317,0.5,1.0,nan,nan,nan,152.2993836402893,logs/tuning/dual/2026-04-02_11-51-11-4573/runs/bcl_dual/tuning_sweep_CIL_tune_002_lr-3em03-2026-04-02_11-51-11-4573-trial002/0,,0.003,
3,lr,0.17601162529799433,0.2722054570913315,0.5,1.0,nan,nan,nan,153.32387042045593,logs/tuning/dual/2026-04-02_11-51-11-4573/runs/bcl_dual/tuning_sweep_CIL_tune_003_lr-1em03-2026-04-02_11-51-11-4573-trial003/0,,0.001,
4,lr,0.10660460402090334,0.18570390592018762,0.5,1.0,nan,nan,nan,153.9551751613617,logs/tuning/dual/2026-04-02_11-51-11-4573/runs/bcl_dual/tuning_sweep_CIL_tune_004_lr-3em04-2026-04-02_11-51-11-4573-trial004/0,,0.0003,
5,lr,0.08765407331201024,0.16742482160528502,0.4964965482552846,1.0,nan,nan,nan,152.61961913108826,logs/tuning/dual/2026-04-02_11-51-11-4573/runs/bcl_dual/tuning_sweep_CIL_tune_005_lr-1em04-2026-04-02_11-51-11-4573-trial005/0,,0.0001,
6,lr,0.08138789975604487,0.152251614878575,0.4935819407304128,1.0,nan,nan,nan,152.64617609977722,logs/tuning/dual/2026-04-02_11-51-11-4573/runs/bcl_dual/tuning_sweep_CIL_tune_006_lr-3em05-2026-04-02_11-51-11-4573-trial006/0,,3e-05,
7,lr,0.07334931875206374,0.1295002599557241,0.48615504304567975,1.0,nan,nan,nan,153.4841811656952,logs/tuning/dual/2026-04-02_11-51-11-4573/runs/bcl_dual/tuning_sweep_CIL_tune_007_lr-1em05-2026-04-02_11-51-11-4573-trial007/0,,1e-05,
8,memory_strength,0.21494465801888848,0.35330674052238464,0.5,1.0,nan,nan,nan,152.73884201049805,logs/tuning/dual/2026-04-02_11-51-11-4573/runs/bcl_dual/tuning_sweep_CIL_tune_008_memory_strength-1-2026-04-02_11-51-11-4573-trial008/0,,0.01,1
9,memory_strength,0.178791839078114,0.2840304027001063,0.5,1.0,nan,nan,nan,152.33587741851807,logs/tuning/dual/2026-04-02_11-51-11-4573/runs/bcl_dual/tuning_sweep_CIL_tune_009_memory_strength-10-2026-04-02_11-51-11-4573-trial009/0,,0.01,10
10,memory_strength,0.08536239464396495,0.201207826534907,0.5,1.0,nan,nan,nan,150.0442612171173,logs/tuning/dual/2026-04-02_11-51-11-4573/runs/bcl_dual/tuning_sweep_CIL_tune_010_memory_strength-100-2026-04-02_11-51-11-4573-trial010/0,,0.01,100
11,memory_strength,0.011834128856640645,0.11949472377697627,0.5,1.0,nan,nan,nan,152.42681312561035,logs/tuning/dual/2026-04-02_11-51-11-4573/runs/bcl_dual/tuning_sweep_CIL_tune_011_memory_strength-1000-2026-04-02_11-51-11-4573-trial011/0,,0.01,1000
12,memory_strength,0.011452320535324237,0.116541371991237,0.5,1.0,nan,nan,nan,151.91869735717773,logs/tuning/dual/2026-04-02_11-51-11-4573/runs/bcl_dual/tuning_sweep_CIL_tune_012_memory_strength-10000-2026-04-02_11-51-11-4573-trial012/0,,0.01,10000
13,beta,0.18275807617569365,0.32423753539721173,0.5,1.0,nan,nan,nan,153.0945611000061,logs/tuning/dual/2026-04-02_11-51-11-4573/runs/bcl_dual/tuning_sweep_CIL_tune_013_beta-3em01-2026-04-02_11-51-11-4573-trial013/0,0.3,0.01,1
14,beta,0.21494465801888848,0.35330674052238464,0.5,1.0,nan,nan,nan,152.7147731781006,logs/tuning/dual/2026-04-02_11-51-11-4573/runs/bcl_dual/tuning_sweep_CIL_tune_014_beta-1-2026-04-02_11-51-11-4573-trial014/0,1.0,0.01,1
15,beta,0.07473466900601271,0.1567759911219279,0.5,1.0,nan,nan,nan,152.0733482837677,logs/tuning/dual/2026-04-02_11-51-11-4573/runs/bcl_dual/tuning_sweep_CIL_tune_015_beta-3-2026-04-02_11-51-11-4573-trial015/0,3.0,0.01,1
16,beta,0.0674763250168862,0.16303372631470361,0.5,1.0,nan,nan,nan,153.87865090370178,logs/tuning/dual/2026-04-02_11-51-11-4573/runs/bcl_dual/tuning_sweep_CIL_tune_016_beta-10-2026-04-02_11-51-11-4573-trial016/0,10.0,0.01,1
17,beta,0.037993575754187645,0.14443605889876684,0.5,1.0,nan,nan,nan,152.07631301879883,logs/tuning/dual/2026-04-02_11-51-11-4573/runs/bcl_dual/tuning_sweep_CIL_tune_017_beta-30-2026-04-02_11-51-11-4573-trial017/0,30.0,0.01,1
