trial,score,val_mean,val_det_mean,val_pfa_mean,test_mean,test_det_mean,test_pfa_mean,duration_sec,log_dir,lr,memory_strength
0,0.15756937246698452,0.2907540599505107,0.5,1.0,nan,nan,nan,278.9139676094055,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_000_lr-3em02_memory_strength-1em01-2026-04-01_19-23-40-7936-trial000/0,0.03,0.1
1,0.14867132779540546,0.2732134759426117,0.5,1.0,nan,nan,nan,263.9638440608978,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_001_lr-3em02_memory_strength-5em01-2026-04-01_19-23-40-7936-trial001/0,0.03,0.5
2,0.12890898230026057,0.247924933830897,0.5,1.0,nan,nan,nan,265.5892086029053,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_002_lr-3em02_memory_strength-1-2026-04-01_19-23-40-7936-trial002/0,0.03,1
3,0.07030969523000902,0.16689101854960123,0.5,1.0,nan,nan,nan,264.5217614173889,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_003_lr-3em02_memory_strength-5-2026-04-01_19-23-40-7936-trial003/0,0.03,5
4,0.03908740018937903,0.1331881284713745,0.5,1.0,nan,nan,nan,262.689138174057,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_004_lr-3em02_memory_strength-10-2026-04-01_19-23-40-7936-trial004/0,0.03,10
5,0.05929117501110769,0.11157844650248687,0.5,1.0,nan,nan,nan,263.0946967601776,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_005_lr-3em02_memory_strength-50-2026-04-01_19-23-40-7936-trial005/0,0.03,50
6,0.037082755319132334,0.1333720659216245,0.5,1.0,nan,nan,nan,263.4813780784607,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_006_lr-3em02_memory_strength-100-2026-04-01_19-23-40-7936-trial006/0,0.03,100
7,0.02117684746675047,0.11219911028941472,0.5,1.0,nan,nan,nan,261.1452794075012,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_007_lr-3em02_memory_strength-500-2026-04-01_19-23-40-7936-trial007/0,0.03,500
8,0.16425692150829807,0.30521819988886517,0.5,1.0,nan,nan,nan,264.39562821388245,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_008_lr-1em02_memory_strength-1em01-2026-04-01_19-23-40-7936-trial008/0,0.01,0.1
9,0.1719482236334409,0.3173996259768804,0.4973016579945882,1.0,nan,nan,nan,263.4385633468628,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_009_lr-1em02_memory_strength-5em01-2026-04-01_19-23-40-7936-trial009/0,0.01,0.5
10,0.14664055733396134,0.2956911822160085,0.5,1.0,nan,nan,nan,265.3634970188141,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_010_lr-1em02_memory_strength-1-2026-04-01_19-23-40-7936-trial010/0,0.01,1
11,0.06594450642658824,0.1139371246099472,0.5,1.0,nan,nan,nan,264.5047028064728,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_011_lr-1em02_memory_strength-5-2026-04-01_19-23-40-7936-trial011/0,0.01,5
12,0.10199718696842634,0.2115860233704249,0.49940475821495056,1.0,nan,nan,nan,263.8203356266022,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_012_lr-1em02_memory_strength-10-2026-04-01_19-23-40-7936-trial012/0,0.01,10
13,0.060147548824095766,0.13539481411377588,0.5,1.0,nan,nan,nan,262.57673025131226,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_013_lr-1em02_memory_strength-50-2026-04-01_19-23-40-7936-trial013/0,0.01,50
14,0.03381408141429117,0.109208428611358,0.5,1.0,nan,nan,nan,262.72167563438416,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_014_lr-1em02_memory_strength-100-2026-04-01_19-23-40-7936-trial014/0,0.01,100
15,0.02594017264643937,0.12163734684387843,0.5,1.0,nan,nan,nan,260.50289154052734,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_015_lr-1em02_memory_strength-500-2026-04-01_19-23-40-7936-trial015/0,0.01,500
16,0.1259731029471716,0.21447707215944925,0.4967073897520701,1.0,nan,nan,nan,265.069766998291,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_016_lr-3em03_memory_strength-1em01-2026-04-01_19-23-40-7936-trial016/0,0.003,0.1
17,0.11903174995936422,0.20047180354595184,0.5,1.0,nan,nan,nan,264.99237537384033,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_017_lr-3em03_memory_strength-5em01-2026-04-01_19-23-40-7936-trial017/0,0.003,0.5
18,0.11418576919628425,0.21175564328829447,0.5,1.0,nan,nan,nan,266.4192581176758,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_018_lr-3em03_memory_strength-1-2026-04-01_19-23-40-7936-trial018/0,0.003,1
19,0.06215997094209625,0.11627274379134178,0.5,1.0,nan,nan,nan,266.3179364204407,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_019_lr-3em03_memory_strength-5-2026-04-01_19-23-40-7936-trial019/0,0.003,5
20,0.07257683206402325,0.16217216849327087,0.5,1.0,nan,nan,nan,263.50161266326904,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_020_lr-3em03_memory_strength-10-2026-04-01_19-23-40-7936-trial020/0,0.003,10
