trial,stage,score,val_mean,val_det_mean,val_pfa_mean,test_mean,test_det_mean,test_pfa_mean,duration_sec,log_dir,lr,memory_strength
0,lr,0.20529348420485374,0.17697632064421973,0.6795662641525269,0.27547579010327655,nan,nan,nan,276.5706629753113,logs/tuning/gem/2026-04-02_14-13-32-7495/runs/gem/tuning_sweep_CIL_tune_000_lr-3em02-2026-04-02_14-13-32-7495-trial000/0,0.03,
1,lr,0.18556775959809504,0.14944039781888327,0.748059888680776,0.1357045421997706,nan,nan,nan,262.3915944099426,logs/tuning/gem/2026-04-02_14-13-32-7495/runs/gem/tuning_sweep_CIL_tune_001_lr-1em02-2026-04-02_14-13-32-7495-trial001/0,0.01,
2,lr,0.22280714056370074,0.21756020188331604,0.8570950229962667,0.17549534638722739,nan,nan,nan,261.91322588920593,logs/tuning/gem/2026-04-02_14-13-32-7495/runs/gem/tuning_sweep_CIL_tune_002_lr-3em03-2026-04-02_14-13-32-7495-trial002/0,0.003,
3,lr,0.13980782561020175,0.10781794041395187,0.7797484199206034,0.15909854571024576,nan,nan,nan,265.07447481155396,logs/tuning/gem/2026-04-02_14-13-32-7495/runs/gem/tuning_sweep_CIL_tune_003_lr-1em03-2026-04-02_14-13-32-7495-trial003/0,0.001,
4,lr,0.13235017088183143,0.08251143495241801,0.6851845781008402,0.13202341397603354,nan,nan,nan,259.77692914009094,logs/tuning/gem/2026-04-02_14-13-32-7495/runs/gem/tuning_sweep_CIL_tune_004_lr-3em04-2026-04-02_14-13-32-7495-trial004/0,0.0003,
5,lr,0.08943806747126531,0.036479067988693714,0.6070399880409241,0.07612465570370357,nan,nan,nan,264.3275318145752,logs/tuning/gem/2026-04-02_14-13-32-7495/runs/gem/tuning_sweep_CIL_tune_005_lr-1em04-2026-04-02_14-13-32-7495-trial005/0,0.0001,
6,lr,0.10262645198766511,0.0584271481881539,0.6139208475748698,0.21740302443504333,nan,nan,nan,268.09699606895447,logs/tuning/gem/2026-04-02_14-13-32-7495/runs/gem/tuning_sweep_CIL_tune_006_lr-3em05-2026-04-02_14-13-32-7495-trial006/0,3e-05,
7,lr,0.06566495691861711,0.09385546545187633,0.48071881135304767,0.8026313980420431,nan,nan,nan,259.39050936698914,logs/tuning/gem/2026-04-02_14-13-32-7495/runs/gem/tuning_sweep_CIL_tune_007_lr-1em05-2026-04-02_14-13-32-7495-trial007/0,1e-05,
8,memory_strength,0.16974535667779378,0.14058639854192734,0.7398350040117899,0.13590643306573233,nan,nan,nan,261.78556752204895,logs/tuning/gem/2026-04-02_14-13-32-7495/runs/gem/tuning_sweep_CIL_tune_008_memory_strength-1em01-2026-04-02_14-13-32-7495-trial008/0,0.003,0.1
9,memory_strength,0.2231945644071132,0.20231991012891135,0.8596738576889038,0.1737895409266154,nan,nan,nan,259.6495249271393,logs/tuning/gem/2026-04-02_14-13-32-7495/runs/gem/tuning_sweep_CIL_tune_009_memory_strength-5em01-2026-04-02_14-13-32-7495-trial009/0,0.003,0.5
10,memory_strength,0.22280714056370074,0.21756020188331604,0.8570950229962667,0.17549534638722739,nan,nan,nan,261.65638875961304,logs/tuning/gem/2026-04-02_14-13-32-7495/runs/gem/tuning_sweep_CIL_tune_010_memory_strength-1-2026-04-02_14-13-32-7495-trial010/0,0.003,1
11,memory_strength,0.1243041028669936,0.0961073562502861,0.6592711607615153,0.19147291779518127,nan,nan,nan,258.5267176628113,logs/tuning/gem/2026-04-02_14-13-32-7495/runs/gem/tuning_sweep_CIL_tune_011_memory_strength-5-2026-04-02_14-13-32-7495-trial011/0,0.003,5
12,memory_strength,0.14615454172694883,0.12421239415804546,0.7523900270462036,0.16700878739356995,nan,nan,nan,236.32888793945312,logs/tuning/gem/2026-04-02_14-13-32-7495/runs/gem/tuning_sweep_CIL_tune_012_memory_strength-10-2026-04-02_14-13-32-7495-trial012/0,0.003,10
13,memory_strength,0.07886501375296338,0.09245127687851588,0.5729860266049703,0.6897652000188828,nan,nan,nan,237.2360372543335,logs/tuning/gem/2026-04-02_14-13-32-7495/runs/gem/tuning_sweep_CIL_tune_013_memory_strength-50-2026-04-02_14-13-32-7495-trial013/0,0.003,50
14,memory_strength,0.06857198883460107,0.08853364239136378,0.5360582967599233,0.509201243519783,nan,nan,nan,235.33089447021484,logs/tuning/gem/2026-04-02_14-13-32-7495/runs/gem/tuning_sweep_CIL_tune_014_memory_strength-100-2026-04-02_14-13-32-7495-trial014/0,0.003,100
15,memory_strength,0.03258997286148566,0.1284561629096667,0.5,1.0,nan,nan,nan,233.81599593162537,logs/tuning/gem/2026-04-02_14-13-32-7495/runs/gem/tuning_sweep_CIL_tune_015_memory_strength-500-2026-04-02_14-13-32-7495-trial015/0,0.003,500
