trial,stage,score,val_mean,val_det_mean,val_pfa_mean,test_mean,test_det_mean,test_pfa_mean,duration_sec,log_dir,alpha_init,opt_lr,opt_wt
0,alpha_init,0.22767895078781786,0.22702957689762115,0.8440211017926534,0.0961257020632426,nan,nan,nan,1218.0944685935974,logs/tuning/smaml/2026-04-02_15-06-27-4295/runs/lamaml_cifar/tuning_sweep_CIL_tune_000_alpha_init-1em04-2026-04-02_15-06-27-4295-trial000/0,0.0001,,
1,alpha_init,0.24654619879396225,0.23705221712589264,0.8417680263519287,0.10391461352507274,nan,nan,nan,1002.9763276576996,logs/tuning/smaml/2026-04-02_15-06-27-4295/runs/lamaml_cifar/tuning_sweep_CIL_tune_001_alpha_init-3em04-2026-04-02_15-06-27-4295-trial001/0,0.0003,,
2,alpha_init,0.23251847826055258,0.22837029894193014,0.8333104252815247,0.10469097395737965,nan,nan,nan,1082.612336397171,logs/tuning/smaml/2026-04-02_15-06-27-4295/runs/lamaml_cifar/tuning_sweep_CIL_tune_002_alpha_init-1em03-2026-04-02_15-06-27-4295-trial002/0,0.001,,
3,alpha_init,0.23703347471788486,0.22090743482112885,0.8308778206507365,0.10043119887510936,nan,nan,nan,1094.413387298584,logs/tuning/smaml/2026-04-02_15-06-27-4295/runs/lamaml_cifar/tuning_sweep_CIL_tune_003_alpha_init-3em03-2026-04-02_15-06-27-4295-trial003/0,0.003,,
4,alpha_init,0.25756345483990245,0.24373909334341684,0.840939462184906,0.06416186690330505,nan,nan,nan,770.6455771923065,logs/tuning/smaml/2026-04-02_15-06-27-4295/runs/lamaml_cifar/tuning_sweep_CIL_tune_004_alpha_init-1em02-2026-04-02_15-06-27-4295-trial004/0,0.01,,
5,alpha_init,0.2216218601838572,0.19701045751571655,0.790516217549642,0.05242569247881571,nan,nan,nan,784.5491600036621,logs/tuning/smaml/2026-04-02_15-06-27-4295/runs/lamaml_cifar/tuning_sweep_CIL_tune_005_alpha_init-3em02-2026-04-02_15-06-27-4295-trial005/0,0.03,,
6,alpha_init,0.19234422742332993,0.16089017689228058,0.7732839186986288,0.12469090024630229,nan,nan,nan,1046.703406572342,logs/tuning/smaml/2026-04-02_15-06-27-4295/runs/lamaml_cifar/tuning_sweep_CIL_tune_006_alpha_init-1em01-2026-04-02_15-06-27-4295-trial006/0,0.1,,
7,alpha_init,0.022868571171452873,0.12036616603533427,0.500511884689331,0.9989762504895529,nan,nan,nan,907.2281994819641,logs/tuning/smaml/2026-04-02_15-06-27-4295/runs/lamaml_cifar/tuning_sweep_CIL_tune_007_alpha_init-3em01-2026-04-02_15-06-27-4295-trial007/0,0.3,,
8,opt_lr,0.22607691729091225,0.20951278507709503,0.8405858079592387,0.0857573797305425,nan,nan,nan,542.7922077178955,logs/tuning/smaml/2026-04-02_15-06-27-4295/runs/lamaml_cifar/tuning_sweep_CIL_tune_008_opt_lr-1em04-2026-04-02_15-06-27-4295-trial008/0,0.01,0.0001,
9,opt_lr,0.22349906870615133,0.21781202654043832,0.8362171451250712,0.08580826967954636,nan,nan,nan,538.8485898971558,logs/tuning/smaml/2026-04-02_15-06-27-4295/runs/lamaml_cifar/tuning_sweep_CIL_tune_009_opt_lr-3em04-2026-04-02_15-06-27-4295-trial009/0,0.01,0.0003,
