trial,score,val_mean,val_det_mean,val_pfa_mean,test_mean,test_det_mean,test_pfa_mean,duration_sec,log_dir,beta,lr
0,0.021418011120868066,0.07077181835969289,0.5,1.0,nan,nan,nan,93.39848589897156,logs/tuning/ucl/2026-04-01_19-26-40-1637/runs/ucl_bresnet/tuning_sweep_CIL_tune_000_beta-1em04_lr-3em02-2026-04-01_19-26-40-1637-trial000/0,0.0001,0.03
1,0.049620530558970165,0.1456253876288732,0.5,1.0,nan,nan,nan,92.22638130187988,logs/tuning/ucl/2026-04-01_19-26-40-1637/runs/ucl_bresnet/tuning_sweep_CIL_tune_001_beta-1em04_lr-1em02-2026-04-01_19-26-40-1637-trial001/0,0.0001,0.01
2,0.045230851317408956,0.1257495234409968,0.5,1.0,nan,nan,nan,92.9362576007843,logs/tuning/ucl/2026-04-01_19-26-40-1637/runs/ucl_bresnet/tuning_sweep_CIL_tune_002_beta-1em04_lr-3em03-2026-04-01_19-26-40-1637-trial002/0,0.0001,0.003
3,0.07190167547811346,0.14197867115338644,0.5,1.0,nan,nan,nan,91.88571286201477,logs/tuning/ucl/2026-04-01_19-26-40-1637/runs/ucl_bresnet/tuning_sweep_CIL_tune_003_beta-1em04_lr-1em03-2026-04-01_19-26-40-1637-trial003/0,0.0001,0.001
4,0.04582905874037235,0.14755386859178543,0.5,1.0,nan,nan,nan,92.3325731754303,logs/tuning/ucl/2026-04-01_19-26-40-1637/runs/ucl_bresnet/tuning_sweep_CIL_tune_004_beta-1em04_lr-3em04-2026-04-01_19-26-40-1637-trial004/0,0.0001,0.0003
5,0.04996734889453999,0.1480327770113945,0.5,1.0,nan,nan,nan,93.17365622520447,logs/tuning/ucl/2026-04-01_19-26-40-1637/runs/ucl_bresnet/tuning_sweep_CIL_tune_005_beta-1em04_lr-1em04-2026-04-01_19-26-40-1637-trial005/0,0.0001,0.0001
6,0.060800006473725604,0.12954945862293243,0.5,1.0,nan,nan,nan,91.84091711044312,logs/tuning/ucl/2026-04-01_19-26-40-1637/runs/ucl_bresnet/tuning_sweep_CIL_tune_006_beta-1em04_lr-3em05-2026-04-01_19-26-40-1637-trial006/0,0.0001,3e-05
7,0.055064340969462194,0.13205711543560028,0.5,1.0,nan,nan,nan,93.11052751541138,logs/tuning/ucl/2026-04-01_19-26-40-1637/runs/ucl_bresnet/tuning_sweep_CIL_tune_007_beta-1em04_lr-1em05-2026-04-01_19-26-40-1637-trial007/0,0.0001,1e-05
8,0.020253327678575007,0.06915214657783508,0.5,1.0,nan,nan,nan,92.87253952026367,logs/tuning/ucl/2026-04-01_19-26-40-1637/runs/ucl_bresnet/tuning_sweep_CIL_tune_008_beta-2em04_lr-3em02-2026-04-01_19-26-40-1637-trial008/0,0.0002,0.03
9,0.06883950401330692,0.16625102857748666,0.5,1.0,nan,nan,nan,92.06702637672424,logs/tuning/ucl/2026-04-01_19-26-40-1637/runs/ucl_bresnet/tuning_sweep_CIL_tune_009_beta-2em04_lr-1em02-2026-04-01_19-26-40-1637-trial009/0,0.0002,0.01
10,0.04979677297503427,0.13431234657764435,0.5,1.0,nan,nan,nan,93.17954325675964,logs/tuning/ucl/2026-04-01_19-26-40-1637/runs/ucl_bresnet/tuning_sweep_CIL_tune_010_beta-2em04_lr-3em03-2026-04-01_19-26-40-1637-trial010/0,0.0002,0.003
