trial,stage,score,val_mean,val_det_mean,val_pfa_mean,test_mean,test_det_mean,test_pfa_mean,duration_sec,log_dir,beta,lr
0,lr,0.05362583467779564,0.015756783386071522,0.5189247131347656,0.6666666666666666,nan,nan,nan,140.696115732193,logs/tuning/ucl/2026-04-10_11-17-58-8957/runs/ucl_bresnet/tuning_sweep_CIL_tune_000_lr-3em02-2026-04-10_11-17-58-8957-trial000/0,,0.03
1,lr,0.035067041518654425,0.0,0.5,0.6666666666666666,nan,nan,nan,141.59672713279724,logs/tuning/ucl/2026-04-10_11-17-58-8957/runs/ucl_bresnet/tuning_sweep_CIL_tune_001_lr-1em02-2026-04-10_11-17-58-8957-trial001/0,,0.01
2,lr,0.11854862941903634,0.11683284491300583,0.6666666666666666,0.6666666666666666,nan,nan,nan,138.87574338912964,logs/tuning/ucl/2026-04-10_11-17-58-8957/runs/ucl_bresnet/tuning_sweep_CIL_tune_002_lr-3em03-2026-04-10_11-17-58-8957-trial002/0,,0.003
3,lr,0.07853696133309694,0.07312133659919103,0.6666666666666666,0.6666666666666666,nan,nan,nan,138.4109354019165,logs/tuning/ucl/2026-04-10_11-17-58-8957/runs/ucl_bresnet/tuning_sweep_CIL_tune_003_lr-1em03-2026-04-10_11-17-58-8957-trial003/0,,0.001
4,lr,0.13373798387704763,0.1341321443518003,0.6667780677477518,0.6664438446362814,nan,nan,nan,137.9101436138153,logs/tuning/ucl/2026-04-10_11-17-58-8957/runs/ucl_bresnet/tuning_sweep_CIL_tune_004_lr-3em04-2026-04-10_11-17-58-8957-trial004/0,,0.0003
5,lr,0.11917118861574573,0.09983832575380802,0.6337070266405741,0.6662033597628275,nan,nan,nan,136.14325833320618,logs/tuning/ucl/2026-04-10_11-17-58-8957/runs/ucl_bresnet/tuning_sweep_CIL_tune_005_lr-1em04-2026-04-10_11-17-58-8957-trial005/0,,0.0001
6,lr,0.13313716271063808,0.10272815823554993,0.6521923243999481,0.6666666666666666,nan,nan,nan,135.51074934005737,logs/tuning/ucl/2026-04-10_11-17-58-8957/runs/ucl_bresnet/tuning_sweep_CIL_tune_006_lr-3em05-2026-04-10_11-17-58-8957-trial006/0,,3e-05
7,lr,0.09661439836147119,0.05470160643259684,0.6191624999046326,0.666464646657308,nan,nan,nan,135.29905223846436,logs/tuning/ucl/2026-04-10_11-17-58-8957/runs/ucl_bresnet/tuning_sweep_CIL_tune_007_lr-1em05-2026-04-10_11-17-58-8957-trial007/0,,1e-05
8,beta,0.14784903570941313,0.15169070164362589,0.6666666666666666,0.6666666666666666,nan,nan,nan,135.70390963554382,logs/tuning/ucl/2026-04-10_11-17-58-8957/runs/ucl_bresnet/tuning_sweep_CIL_tune_008_beta-1em04-2026-04-10_11-17-58-8957-trial008/0,0.0001,0.0003
9,beta,0.13373798387704763,0.1341321443518003,0.6667780677477518,0.6664438446362814,nan,nan,nan,136.3547010421753,logs/tuning/ucl/2026-04-10_11-17-58-8957/runs/ucl_bresnet/tuning_sweep_CIL_tune_009_beta-2em04-2026-04-10_11-17-58-8957-trial009/0,0.0002,0.0003
10,beta,0.16334411831522436,0.150829516351223,0.7385856707890829,0.516009251276652,nan,nan,nan,138.5120050907135,logs/tuning/ucl/2026-04-10_11-17-58-8957/runs/ucl_bresnet/tuning_sweep_CIL_tune_010_beta-1em03-2026-04-10_11-17-58-8957-trial010/0,0.001,0.0003
11,beta,0.11968551971628916,0.10253822803497314,0.6666666666666666,0.6666666666666666,nan,nan,nan,133.01317024230957,logs/tuning/ucl/2026-04-10_11-17-58-8957/runs/ucl_bresnet/tuning_sweep_CIL_tune_011_beta-2em03-2026-04-10_11-17-58-8957-trial011/0,0.002,0.0003
12,beta,0.14547677678120616,0.14710392554601034,0.6666666666666666,0.6666666666666666,nan,nan,nan,133.58737230300903,logs/tuning/ucl/2026-04-10_11-17-58-8957/runs/ucl_bresnet/tuning_sweep_CIL_tune_012_beta-1em02-2026-04-10_11-17-58-8957-trial012/0,0.01,0.0003
13,beta,0.1365128724919686,0.13323834041754404,0.6666666666666666,0.6666666666666666,nan,nan,nan,134.94450068473816,logs/tuning/ucl/2026-04-10_11-17-58-8957/runs/ucl_bresnet/tuning_sweep_CIL_tune_013_beta-2em02-2026-04-10_11-17-58-8957-trial013/0,0.02,0.0003
14,beta,0.12619917361224897,0.12469858676195145,0.6666666666666666,0.6666666666666666,nan,nan,nan,134.25159907341003,logs/tuning/ucl/2026-04-10_11-17-58-8957/runs/ucl_bresnet/tuning_sweep_CIL_tune_014_beta-5em02-2026-04-10_11-17-58-8957-trial014/0,0.05,0.0003
15,beta,0.13730447300296286,0.149452306330204,0.6666666666666666,0.6666666666666666,nan,nan,nan,132.9721896648407,logs/tuning/ucl/2026-04-10_11-17-58-8957/runs/ucl_bresnet/tuning_sweep_CIL_tune_015_beta-1em01-2026-04-10_11-17-58-8957-trial015/0,0.1,0.0003
16,beta,0.1427520424042488,0.13740439216295877,0.6666666666666666,0.6666666666666666,nan,nan,nan,132.13390851020813,logs/tuning/ucl/2026-04-10_11-17-58-8957/runs/ucl_bresnet/tuning_sweep_CIL_tune_016_beta-5em01-2026-04-10_11-17-58-8957-trial016/0,0.5,0.0003
